PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Sipariş,ENLEM,BOYLAM,Toplam kwh ,mahalle adı,ILCE_ADI,NİTELİKLİ /NİTELİKSİZ DURUMU,Şirket Adı,Bölge Müdürlüğü,Ters Kayıt Tarihi,Oluşturma Tarihi,Tutanak Tarihi,Rapor Tarihi,Kaçak Tüketim Miktarı (kWh),Ek Tahakkuk Miktarı (kWh)
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4004681383,689487260,             40.8905151659857,             29.2809025147877,"6,532",KAVAKPINAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/1/2024,3/29/2024,4/1/2024,378.447,6153.998
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4004729688,689506974,             40.8609927550429,             29.2835991054504,"1,584",GÜZELYALI,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/2/2024,4/2/2024,4/2/2024,1584,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4004754912,690124678,             40.8777291807472,             29.2759107514857,"6,915",ÇAMÇEŞME,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/13/2024,5/13/2024,5/13/2024,318.748,6596.293
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4004821272,689279164,             40.8772707674803,             29.2355001776767,"14,400",DOĞU,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/19/2024,3/19/2024,3/19/2024,10800,3600
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4004839847,687981133,             40.8716981193828,             29.2603551435781,"7,688",KAYNARCA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/8/2024,1/6/2024,1/8/2024,612.35,7075.65
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4004914404,688197069,             40.8711203198877,             29.2744224968070,"2,448",ÇAMÇEŞME,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/22/2024,1/20/2024,1/22/2024,2448,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4004964424,688740918,             40.8684078790248,             29.2884764308110,"2,705",ORHANGAZİ,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/17/2024,2/16/2024,2/17/2024,2705.4,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005047962,689183637,             40.8799405035750,             29.2588932600137,"1,440",FEVZİ ÇAKMAK,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/14/2024,3/13/2024,3/14/2024,1439.64,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005071244,690679008,             40.8615287356334,             29.2737445837049,"6,834",GÜZELYALI,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/24/2024,6/21/2024,6/24/2024,672.192,6161.539
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005110920,688197061,             40.9043543900767,             29.2548398776201,"1,834",VELİBABA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/21/2024,1/20/2024,1/21/2024,1833.66,0
