PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Sipariş,ENLEM,BOYLAM,Toplam kwh,mahalle adı,ILCE_ADI,NİTELİKLİ /NİTELİKSİZ DURUMU,Şirket Adı,Bölge Müdürlüğü,Ters Kayıt Tarihi,Oluşturma Tarihi,Tutanak Tarihi,Rapor Tarihi,Kaçak Tüketim Miktarı (kWh),Ek Tahakkuk Miktarı (kWh)
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005282019.0,687397601.0,40.9752094092574,29.1145127135971,5400,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/23/2024,2/23/2024,2/23/2024,2700.0,2700.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005319804.0,690180313.0,40.9908661064524,29.1677907341451,13640,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/26/2024,6/25/2024,6/26/2024,4324.84,9315.04
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005366350.0,690526099.0,40.9842337670121,29.1831968987676,213405,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/7/2024,6/6/2024,6/7/2024,20145.043,193259.769
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005557376.0,689494891.0,40.9636164852101,29.1133370864265,1380,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,04.04.2024,4/1/2024,4/1/2024,4/1/2024,1380.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005557376.0,689494891.0,40.9636164852101,29.1133370864265,-1380,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,04.04.2024,4/1/2024,4/1/2024,4/4/2024,-1380.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005612579.0,690702157.0,40.9880148822197,29.1748245760317,1350,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/24/2024,6/24/2024,6/24/2024,1350.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005670030.0,689954075.0,40.9860245380411,29.1796245498725,17035,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/6/2024,5/4/2024,5/6/2024,17035.2,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005670030.0,690480411.0,40.9860245380411,29.1796245498725,3249,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/20/2024,6/20/2024,6/20/2024,3248.64,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005720105.0,687776235.0,40.9872861060868,29.148721596157,26432,MEVLANA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/4/2024,1/2/2024,1/4/2024,20160.0,6272.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005800289.0,690369702.0,40.9859976750204,29.144120363152,7346,KAYIŞDAĞI,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/31/2024,5/30/2024,5/31/2024,4293.0,3052.8
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005836343.0,690159279.0,40.9763375220835,29.1494051306942,10273,İNÖNÜ,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/15/2024,5/14/2024,5/15/2024,10272.96,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005836343.0,690420056.0,40.9763375220835,29.1494051306942,1410,İNÖNÜ,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/31/2024,5/31/2024,5/31/2024,1410.048,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005836350.0,690634142.0,40.9659767123055,29.1066926728106,116119,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/14/2024,6/12/2024,6/14/2024,4872.713,111246.281
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005889343.0,689952911.0,40.9863701606411,29.1729096546379,4770,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/6/2024,5/4/2024,5/6/2024,570.0,4200.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005889343.0,690450673.0,40.9863701606411,29.1729096546379,960,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/5/2024,6/5/2024,6/5/2024,690.0,270.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005972036.0,690563982.0,40.9822225681764,29.1534027176052,36900,MEVLANA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/27/2024,6/26/2024,6/27/2024,19800.0,17100.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4006019254.0,690123837.0,40.9711844705633,29.1151117889125,8840,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/13/2024,5/13/2024,5/13/2024,197.369,8642.796
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4006035342.0,689554927.0,40.9695417030001,29.136790176,3240,FINDIKLI,MALTEPE,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/25/2024,4/25/2024,4/25/2024,3240.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4006057006.0,688733931.0,40.9755571546079,29.1483598909893,336,İNÖNÜ,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/23/2024,2/22/2024,2/23/2024,336.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4006093660.0,689363375.0,40.9845074233005,29.1524023582182,9018,MEVLANA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/22/2024,3/22/2024,3/22/2024,200.4,8817.6
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4006339790.0,689305285.0,40.979620082017,29.1842658457397,1964,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/19/2024,3/21/2024,106.93905,1856.61095
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4010491126.0,688143121.0,40.9724009632694,29.1082911848489,1728,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/15/2024,1/15/2024,1/15/2024,864.0,864.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4010491129.0,688142589.0,40.9724009632694,29.1082911848489,40535,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/25/2024,1/15/2024,1/25/2024,40534.56,0.0
